Category,Name,Description,Goal,Type,ID
Hard mode and bytes,BYTE STREAM,Decrypt 10 bytes,10,Standard,byte-stream
Hard mode and bytes,BYTE ARRAY,Decrypt 100 bytes,100,Standard,byte-array
Encryption layers,LAYER PEELER,Peel 100 encryption layers,100,Standard,layer-peeler
Encryption layers,ONION ROUTER,"Peel 1,000 encryption layers","1,000",Standard,onion-router
Encryption layers,ONION CORE,"Peel 10,000 encryption layers","10,000",Standard,onion-core
Encryption layers,DEMOLITION,Break 500 encryption layers all the way open,500,Standard,demolition
Encryption layers,FIREWALL BREACH,Break 3 encryption layers open with one drop,3,Standard,firewall-breach
Exploits,SCRIPT KIDDIE,Run your first exploit,1,Standard,script-kiddie
Exploits,BLACK HAT,Run 50 exploits,50,Standard,black-hat
Exploits,ADVANCED PERSISTENT THREAT,Run 500 exploits,500,Standard,apt
Exploits,FULL TOOLKIT,Run every exploit at least once,13,Standard,full-toolkit
Exploits,CHAINED EXPLOITS,Run 3 exploits in one session,3,Standard,chained-exploits
Exploits,ARSENAL,Fill all 6 exploit slots,6,Standard,arsenal
Exploits,TIME BOMB,Wipe 5 blocks with one Logic Bomb blast,5,Standard,time-bomb
Exploits,STING,Spring a Honeypot,1,Standard,sting
Exploits,WIRETAP,Use all 3 Packet Sniffer bits without losing the session,1,Standard,wiretap
Exploits,LATERAL MOVEMENT,Start a chain with a PIVOT,1,Standard,lateral-movement
Exploits,OVERKILL,Run an exploit on an empty board,1,Hidden,overkill
Exploits,DOUBLE TROUBLE,Have a Logic Bomb and a Honeypot armed at the same time,1,Hidden,double-trouble
Blitz and Zen,SPEED RUN,"Score 1,000 in one Blitz","1,000",Standard,speed-run
Blitz and Zen,BLITZKRIEG,"Score 3,000 in one Blitz","3,000",Standard,blitzkrieg
Blitz and Zen,LIGHTSPEED,"Score 5,000 in one Blitz","5,000",Standard,lightspeed
Blitz and Zen,ZEN MASTER,Last 300 drops in one Zen session,300,Standard,zen-master
Blitz and Zen,LAST SECOND,Decrypt a bit in Blitz with under a second left,1,Hidden,last-second
Daily,DAILY DRIVER,Play a Daily game 7 days in a row,7,Standard,daily-driver
Daily,DAILY GRIND,Play the Daily on 30 different days,30,Standard,daily-grind
Daily,STREAK,Play a Daily game 30 days in a row,30,Standard,streak
Daily,CENTURY,Play a Daily game 100 days in a row,100,Standard,century
Daily,DAILY SWEEP,Play all four daily games on the same day,1,Standard,daily-sweep
Daily,PERFECT DAILY,Finish a Daily Decrypt with the board empty,1,Standard,perfect-daily
Daily,BREACHED,Clear the whole board in BREACH,1,Standard,breached
Daily,ONE SHOT,Solve a daily puzzle on the first try,1,Standard,one-shot
Daily,SUNDAY BEST,Solve a Sunday daily puzzle (the week's hardest),1,Standard,sunday-best
Daily,STUBBORN,Try the same daily puzzle 10 times,1,Hidden,stubborn
Daily,SO CLOSE,End a BREACH with one layer left,1,Hidden,so-close
Puzzles,FIRST TRY,Solve a puzzle on your first attempt,1,Standard,first-try
Puzzles,LOCKSMITH,Solve 10 puzzles,10,Standard,locksmith
Puzzles,SAFECRACKER,Solve 30 puzzles,30,Standard,safecracker
Puzzles,MASTER KEY,Solve every puzzle,60,Standard,master-key
Puzzles,PICKPOCKET,Solve 5 puzzles in a row without failing one,5,Standard,pickpocket
Levels and DECRYPTOR ranks,LV 40,Reach level 40,40,Standard,lv-40
Levels and DECRYPTOR ranks,MAXED OUT,Fill Lv 80: a kilobyte of bits in one DECRYPTOR rank,1,Standard,maxed-out
Levels and DECRYPTOR ranks,ROLLOVER,Rank up to DECRYPTOR 1,1,Standard,rollover
Levels and DECRYPTOR ranks,TRIPLE CROWN,Reach DECRYPTOR 3,3,Standard,triple-crown
Levels and DECRYPTOR ranks,FULL SPECTRUM,Reach DECRYPTOR 9,9,Standard,full-spectrum
Themes and music,COLLECTOR,Unlock every theme,9,Standard,collector
Themes and music,CHAMELEON,Play a full session (10+ drops) in every theme,10,Standard,chameleon
Themes and music,DJ,Listen to every track,7,Standard,dj
Themes and music,AUDIOPHILE,Play a full session (10+ drops) on every track,7,Standard,audiophile
Themes and music,THEME PARK,Change the theme 10 times in one sitting,1,Hidden,theme-park
Themes and music,CHANNEL SURFER,Pick a track 10 times in one sitting,1,Hidden,channel-surfer
Themes and music,SILENT RUNNING,Play a full session (10+ drops) with the sound and music off,1,Hidden,silent-running
Dates and times,INSOMNIAC,Play between 2 and 4 AM,1,Standard,insomniac
Dates and times,BIRTHDAY,"Play on September 23, ByteFall's birthday",1,Standard,birthday
Dates and times,FRIDAY THE 13TH,Play on a Friday the 13th,1,Hidden,friday-13th
Dates and times,PI DAY,Play on March 14,1,Hidden,pi-day
Secrets,KONAMI,Enter the Konami code,1,Hidden,konami
Impossible (not counted),GIGABYTE,"Earn 8,000,000,000 points in total","8,000,000,000",Impossible,gigabyte
Impossible (not counted),TERABYTE,"Earn 8,000,000,000,000 points in total","8,000,000,000,000",Impossible,terabyte
